War ID,War Name,Country,Start Year,End Year
342,Hodeida Seige,Ottoman Empire,1856,1856
343,Second Opium,United Kingdom,1856,1860
343,Second Opium,France,1856,1860
345,French Conquest of Kabylia,France,1856,1857
347,Indian Mutiny,United Kingdom,1857,1859
349,First Franco-Vietnamese,France,1858,1862
350,Netherlands-Bone,Netherlands,1859,1860
351,Argentine-Buenos Aires,Argentina,1859,1859
352,Garibaldi Expedition,Two Sicilies,1860,1860
353,Spanish-Santo Dominican,Spain,1863,1865
355,British-Maori,United Kingdom,1863,1866
356,Shimonoseki War,United States,1863,1864
356,Shimonoseki War,United Kingdom,1864,1864
356,Shimonoseki War,Netherlands,1864,1864
356,Shimonoseki War,France,1863,1864
357,British Umbeyla Campaign,United Kingdom,1863,1863
359,Russian-Kokand,Russia,1864,1865
360,British-Bhutanese,United Kingdom,1865,1865
361,Russian-Bukharan,Russia,1866,1866
362,British-Ethiopian,United Kingdom,1867,1868
363,First Spanish-Cuban,Spain,1868,1878
364,Attack on Bahr el-Ghazal,Egypt,1869,1870
365,Ottoman Conquest of Arabia,Ottoman Empire,1870,1872
366,Second Franco-Algerian,France,1871,1872
367,Second British-Ashanti,United Kingdom,1873,1874
369,Second Franco-Vietnamese,France,1873,1874
370,First Dutch-Achinese,Netherlands,1873,1878
371,Kokand Rebellion,Russia,1875,1876
372,Egyptian-Ethiopian,Egypt,1875,1876
373,Serbian-Turkish,Ottoman Empire,1876,1877
374,Third British-Xhosa,United Kingdom,1877,1878
375,Egypt-Sudanese Slavers,Egypt,1878,1879
376,Russo-Turkoman,Russia,1878,1881
377,Austrian-Bosnian,Austria-Hungary,1878,1878
379,Second British-Afghan,United Kingdom,1878,1879
380,Second British-Zulu,United Kingdom,1879,1879
381,Gun War,United Kingdom,1880,1881
382,First Boer War,United Kingdom,1880,1881
383,Franco-Tunisian,France,1881,1882
384,First British-Mahdi,Egypt,1881,1882
384,First British-Mahdi,United Kingdom,1881,1885
385,Third Franco-Vietnamese,France,1882,1884
386,First Franco-Madagascan,France,1883,1885
387,Third British-Burmese,United Kingdom,1885,1889
389,French-Mandinka,France,1885,1886
390,Russo-Afghan,Russia,1885,1885
391,Serbian-Bulgarian,Serbia,1885,1885
392,First Italian-Ethiopian,Italy,1887,1887
393,Zambezi Conquest,Portugal,1888,1888
394,First Franco-Dahomeyan,France,1890,1890
395,Franco-Jolof,France,1890,1891
396,Second Franco-Dahomeyan,France,1892,1893
397,Belgian-Tib,Belgium,1892,1894
398,Third British-Ashanti,United Kingdom,1893,1894
399,Melilla War,Spain,1893,1894
400,Mahdist-Italian,Italy,1893,1894
401,Second Franco-Madagascan,France,1894,1895
402,Second Dutch-Bali,Netherlands,1894,1894
403,Portuguese-Gaza Empire,Portugal,1895,1895
404,Second Spanish-Cuban,Spain,1895,1898
405,Japan-Taiwanese,Japan,1895,1895
406,Mazrui Rebellion,United Kingdom,1895,1896
407,Second Italian-Ethiopian,Italy,1895,1896
409,Second British-Mahdi,United Kingdom,1896,1899
410,Spanish-Philippine,Spain,1896,1898
411,British-South Nigerian,United Kingdom,1897,1897
412,British-Pathan,United Kingdom,1897,1898
413,Hut Tax,United Kingdom,1898,1898
414,American-Philippine,United States of America,1899,1902
415,French Conquest of Chad,France,1899,1900
416,Second Boer War,United Kingdom,1899,1902
417,Last Ashanti War,United Kingdom,1900,1900
419,Somali Rebellion,United Kingdom,1901,1904
419,Somali Rebellion,Ethiopia,1901,1904
420,Bailundu Revolt,Portugal,1902,1903
421,Kuanhama Rebellion,Portugal,1902,1904
422,British Conquest of Kano & Sokoto,United Kingdom,1903,1903
423,South West African Revolt,Germany,1904,1906
424,Second Dutch-Achinese,Netherlands,1904,1907
425,Younghusband Expedition,United Kingdom,1904,1904
426,Maji-Maji Revolt,Germany,1905,1906
427,Sokoto Uprising,United Kingdom,1906,1906
429,Third British-Zulu,United Kingdom,1906,1906
430,Dembos War,Portugal,1907,1910
431,Anti-Foreign Revolt,France,1907,1910
432,Japan-Korean Guerrillas,Japan,1907,1910
433,French Conquest of Wadai,France,1909,1911
434,French-Berber,France,1912,1912
435,First Sino-Tibetan,China,1912,1913
436,Moroccan Berber,France,1913,1915
436,Moroccan Berber,Spain,1913,1914
437,Moro Rebellion,United States,1913,1913
440,Second Sino-Tibetan,China,1918,1918
441,Caco Revolt,United States,1918,1920
442,Third British-Afghan,United Kingdom,1919,1919
443,First British-Waziristan,United Kingdom,1919,1920
444,Franco-Syrian,France,1920,1920
445,Iraqi-British,United Kingdom,1920,1920
446,Conquest of Mongolia,USSR,1921,1921
446,Conquest of Mongolia,China,1920,1921
447,Italian-Sanusi,Italy,1923,1931
449,Rif Rebellion,France,1925,1926
449,Rif Rebellion,Spain,1921,1926
450,Moplah Rebellion,United Kingdom,1921,1922
451,Franco-Druze,France,1925,1927
452,Yen Bai Uprising,France,1930,1931
453,Saya San's Rebellion,United Kingdom,1930,1932
454,British-Palestinian,United Kingdom,1936,1936
455,Second British-Waziristan,United Kingdom,1936,1938
456,Indonesian,United Kingdom,1945,1946
456,Indonesian,Netherlands,1945,1946
457,French-Indochina,France,1946,1954
459,Third Franco-Madagascan,France,1947,1948
460,Malayan Rebellion,United Kingdom,1948,1957
461,Indo-Hyderabad,India,1948,1948
462,Third Sino-Tibetan,China,1950,1950
463,Franco-Tunisian,France,1952,1954
464,British-Mau Mau,United Kingdom,1952,1956
465,Moroccan Independence,France,1953,1956
466,Third Franco-Algerian,France,1954,1962
467,French-Cameroon,France,1957,1958
469,Angolan-Portuguese,Portugal,1961,1974
471,Mozambique-Portuguese,Portugal,1964,1975
472,"East Timorese, Phase 2",Indonesia,1975,1976
473,Namibian,South Africa,1975,1988
474,Western Saharan,Morocco,1975,1983
474,Western Saharan,Mauritania,1975,1979
475,Khmer Insurgency,Vietnam,1979,1989
475,Khmer Insurgency,Cambodia,1979,1989
476,Soviet Quagmire,USSR,1980,1989
476,Soviet Quagmire,Afghanistan,1980,1989
477,First PKK in Iraq,Turkey,1991,1992
479,Second PKK in Iraq,Turkey,1997,1997
480,Al Aqsa Intifada,Israel,2000,2003
482,Iraqi Resistance,Netherlands,2004,2005
482,Iraqi Resistance,Spain,2004,2004
482,Iraqi Resistance,Poland,2004,2006
482,Iraqi Resistance,Ukraine,2004,2005
300,Allied Bombardment of Algiers,Algeria,1816,1816
301,Ottoman-Wahhabi,Saudi Wahhabis,1816,1818
302,Liberation of Chile,San Martin revolutionaries,1817,1818
303,First Bolivar Expedition,New Granada,1817,1819
304,Mexican Independence,Mina Expedition,1817,1818
305,British-Kandyan,Kandyan rebels,1817,1818
306,British-Maratha,Marathas,1817,1818
307,Ottoman Conquest of Sudan,Sudan states,1820,1821
308,Second Bolivar Expedition,New Granada,1821,1822
309,Turco-Persian,Persia,1821,1822
310,First British-Burmese,Burma,1823,1826
311,First British-Ashanti,Ashanti-Ghana,1824,1826
312,Liberation of Peru,Latin American revolutionaries,1824,1825
313,Dutch - Javanese,Javanese rebels,1825,1830
314,British-Bharatpuran,Bharatpuran rebels,1825,1826
315,Brazil-Argentine,Argentina,1826,1828
316,Russo-Persian,Persia,1826,1828
317,Spanish Reconquest of Mexico,Mexico,1829,1829
319,French Occupation of Algiers,Algeria,1830,1830
320,Ottoman-Bilmez-Asiri War,Bilmez-Asiri,1832,1837
321,First British-Zulu,Zulu tribe,1838,1838
322,First British-Afghan,Afghanistan,1839,1842
323,First Opium,China,1839,1842
324,First Franco-Algerian,Algerian forces,1839,1847
325,Peru-Bolivian,Bolivia,1841,1841
326,British-Sind,Sind,1843,1843
327,Uruguay War,Uruguay,1843,1851
327,Uruguay War,United Kingdom,1845,1849
327,Uruguay War,France,1845,1849
329,Gwalior,Gwalior,1843,1843
330,Franco-Moroccan,Morocco,1844,1844
331,First British-Sikh,Sikhs,1845,1846
332,Cracow Revolt,Cracow,1846,1846
333,First British-Xhosa,Khosa,1846,1847
334,First Dutch-Bali,Bali,1848,1848
335,Second British-Sikh,Sikhs,1848,1849
336,Chinese Pirates,Chinese Pirates,1849,1849
337,Second British-Xhosa,Xhosa,1850,1852
338,Ottoman-Yam,Yam,1851,1851
339,Second British-Burmese,Burma,1852,1852
340,French-Tukulor War,Tukulor,1854,1857
341,British-Santal,Santal,1855,1856
342,Hodeida Seige,Beni Aseer tribe,1856,1856
343,Second Opium,China,1856,1860
345,French Conquest of Kabylia,Kabylia,1856,1857
347,Indian Mutiny,Indian sepoys,1857,1859
349,First Franco-Vietnamese,Vietnam,1858,1862
350,Netherlands-Bone,Bone,1859,1860
351,Argentine-Buenos Aires,Buenos Aires,1859,1859
352,Garibaldi Expedition,Red Shirts,1860,1860
353,Spanish-Santo Dominican,Santo Domingo,1863,1865
355,British-Maori,New Zealand Maori,1863,1866
356,Shimonoseki War,Choshu Daimyo,1863,1864
357,British Umbeyla Campaign,Pathan tribe,1863,1863
359,Russian-Kokand,Kokand,1864,1865
360,British-Bhutanese,Bhutan,1865,1865
361,Russian-Bukharan,Bukhara,1866,1866
362,British-Ethiopian,Ethiopians,1867,1868
363,First Spanish-Cuban,Cuba,1868,1878
364,Attack on Bahr el-Ghazal,Bahr el-Ghazal,1869,1870
365,Ottoman Conquest of Arabia,"Yemen, Asir, Hasa",1870,1872
366,Second Franco-Algerian,Algeria,1871,1872
367,Second British-Ashanti,Ashanti,1873,1874
369,Second Franco-Vietnamese,Vietnam,1873,1874
370,First Dutch-Achinese,Aceh,1873,1878
371,Kokand Rebellion,Kokand,1875,1876
372,Egyptian-Ethiopian,Ethiopia,1875,1876
373,Serbian-Turkish,"Serbia, Montenegro",1876,1877
374,Third British-Xhosa,S. Africa Xhosa,1877,1878
375,Egypt-Sudanese Slavers,Sudanese Slavers,1878,1879
376,Russo-Turkoman,Turkomans,1878,1881
377,Austrian-Bosnian,Bosnia,1878,1878
379,Second British-Afghan,Afghanistan,1878,1879
380,Second British-Zulu,Zulu,1879,1879
381,Gun War,Basuto,1880,1881
382,First Boer War,Transvaal,1880,1881
383,Franco-Tunisian,Tunisia,1881,1882
384,First British-Mahdi,Mahdist Empire,1881,1885
385,Third Franco-Vietnamese,"Vietnam, Black Flag",1882,1884
385,Third Franco-Vietnamese,China,1883,1884
386,First Franco-Madagascan,Madagasar,1883,1885
387,Third British-Burmese,Burma,1885,1889
389,French-Mandinka,Mandinka,1885,1886
390,Russo-Afghan,Afghanistan,1885,1885
391,Serbian-Bulgarian,Bulgaria,1885,1885
392,First Italian-Ethiopian,Ethiopia,1887,1887
393,Zambezi Conquest,Prazero da Cruz,1888,1888
394,First Franco-Dahomeyan,Dahomey,1890,1890
395,Franco-Jolof,Jolof/Tukulor,1890,1891
396,Second Franco-Dahomeyan,Dahomey,1892,1893
397,Belgian-Tib,Tippu Tib Empire,1892,1894
398,Third British-Ashanti,Ashanti,1893,1894
399,Melilla War,Rif tribes,1893,1894
400,Mahdist-Italian,Mahdist Empire,1893,1894
401,Second Franco-Madagascan,Madagasar,1894,1895
402,Second Dutch-Bali,Bali,1894,1894
403,Portuguese-Gaza Empire,Gaza Empire,1895,1895
404,Second Spanish-Cuban,Cuba,1895,1898
405,Japan-Taiwanese,Taiwanese,1895,1895
406,Mazrui Rebellion,Mazrui clan of Kenya,1895,1896
407,Second Italian-Ethiopian,Ethiopia,1895,1896
409,Second British-Mahdi,Mahdist Empire,1896,1899
410,Spanish-Philippine,Philippines,1896,1898
411,British-South Nigerian,Nigeria,1897,1897
412,British-Pathan,Pathans,1897,1898
413,Hut Tax,Sierra Leone rebels,1898,1898
414,American-Philippine,Philippines,1899,1902
415,French Conquest of Chad,Rabih az-Zubayr,1899,1900
416,Second Boer War,Boer Republics,1899,1902
417,Last Ashanti War,Ashanti,1900,1900
419,Somali Rebellion,Mohammad Abdullah Hassan�s Dervishes,1901,1904
420,Bailundu Revolt,Bailundu of Angola,1902,1903
421,Kuanhama Rebellion,Kuanhama of Angola,1902,1904
422,British Conquest of Kano & Sokoto,Kano & Sokoto,1903,1903
423,South West African Revolt,Herero & Nama,1904,1906
424,Second Dutch-Achinese,Aceh,1904,1907
425,Younghusband Expedition,Tibet,1904,1904
426,Maji-Maji Revolt,Maji-Maji in Tanganyika,1905,1906
427,Sokoto Uprising,Mahdist rebels,1906,1906
429,Third British-Zulu,Zulu,1906,1906
430,Dembos War,Dembos,1907,1910
431,Anti-Foreign Revolt,Sheikh Ma Al-Ainie,1907,1910
432,Japan-Korean Guerrillas,Korea,1907,1910
433,French Conquest of Wadai,Wadai sultanate,1909,1911
434,French-Berber,Berbers,1912,1912
435,First Sino-Tibetan,Tibet,1912,1913
436,Moroccan Berber,Berbers,1913,1915
436,Moroccan Berber,Berbers,1913,1914
437,Moro Rebellion,Moro,1913,1913
440,Second Sino-Tibetan,Tibet,1918,1918
441,Caco Revolt,Caco Rebels,1918,1920
442,Third British-Afghan,Afghanistan,1919,1919
443,First British-Waziristan,Waziristan,1919,1920
444,Franco-Syrian,Syrians,1920,1920
445,Iraqi-British,Iraq,1920,1920
446,Conquest of Mongolia,Baron von Ungern-Sternberg�s White army,1920,1921
447,Italian-Sanusi,Sanusi tribe,1923,1931
449,Rif Rebellion,Riffs,1921,1926
450,Moplah Rebellion,Muslim Moplahs,1921,1922
451,Franco-Druze,Druze,1925,1927
452,Yen Bai Uprising,Vietnamese Nationalists,1930,1931
453,Saya San's Rebellion,Peasant Rebels,1930,1932
454,British-Palestinian,Palestinians,1936,1936
455,Second British-Waziristan,Pathan tribes,1936,1938
456,Indonesian,Indonesia,1945,1946
457,French-Indochina,Vietminh,1946,1954
459,Third Franco-Madagascan,Madagascar,1947,1948
460,Malayan Rebellion,Malayan Communists,1948,1957
461,Indo-Hyderabad,Hyderabad,1948,1948
462,Third Sino-Tibetan,Tibet,1950,1950
463,Franco-Tunisian,Tunisia,1952,1954
464,British-Mau Mau,Mau Mau,1952,1956
465,Moroccan Independence,Morocco,1953,1956
466,Third Franco-Algerian,Algeria,1954,1962
467,French-Cameroon,UPC,1957,1958
469,Angolan-Portuguese,Angola,1961,1974
471,Mozambique-Portuguese,Mozambique,1964,1975
472,"East Timorese, Phase 2",Fretilin & UDT,1975,1976
473,Namibian,SWAPO-Namibia,1975,1988
474,Western Saharan,Polisario,1975,1983
474,Western Saharan,Algeria,1976,1976
475,Khmer Insurgency,Khmer Rouge,1979,1989
476,Soviet Quagmire,Muhajadin,1980,1989
477,First PKK in Iraq,PKK in Iraq,1991,1992
479,Second PKK in Iraq,PKK in Iraq,1997,1997
480,Al Aqsa Intifada,Palestinians,2000,2003
1,Franco-Spanish War,Spain,1823,1823
1,Franco-Spanish War,France,1823,1823
4,First Russo-Turkish,Ottoman Empire,1828,1829
4,First Russo-Turkish,Russia,1828,1829
7,Mexican-American,Mexico,1846,1847
7,Mexican-American,United States of America,1846,1847
10,Austro-Sardinian,Tuscany,1848,1848
10,Austro-Sardinian,Italy,1848,1848
10,Austro-Sardinian,Austria,1848,1848
10,Austro-Sardinian,Modena,1848,1848
13,First Schleswig-Holstein,Prussia,1848,1848
13,First Schleswig-Holstein,Denmark,1848,1848
16,Roman Republic,France,1849,1849
16,Roman Republic,Two Sicilies,1849,1849
16,Roman Republic,Austria,1849,1849
16,Roman Republic,Papal States,1849,1849
19,La Plata,Argentina,1851,1852
19,La Plata,Brazil,1851,1852
22,Crimean,Turkey,1853,1856
22,Crimean,Italy,1855,1856
22,Crimean,France,1854,1856
22,Crimean,United Kingdom,1854,1856
22,Crimean,Russia,1853,1856
25,Anglo-Persian,United Kingdom,1856,1857
25,Anglo-Persian,Iran,1856,1857
28,Italian Unification,Sardinia/Piedmont,1859,1859
28,Italian Unification,Austria,1859,1859
28,Italian Unification,France,1859,1859
31,First Spanish-Moroccan,Morocco,1859,1860
31,First Spanish-Moroccan,Spain,1859,1860
34,Italian-Roman,Sardinia/Piedmont,1860,1860
34,Italian-Roman,Papal States,1860,1860
37,Neapolitan,Two Sicilies,1860,1861
37,Neapolitan,Sardinia/Piedmont,1860,1861
40,Franco-Mexican,Mexico,1862,1867
40,Franco-Mexican,France,1862,1867
43,Ecuadorian-Colombian,Colombia,1863,1863
43,Ecuadorian-Colombian,Ecuador,1863,1863
46,Second Schleswig-Holstein,Germany,1864,1864
46,Second Schleswig-Holstein,Denmark,1864,1864
46,Second Schleswig-Holstein,Austria,1864,1864
49,Lopez,Argentina,1865,1870
49,Lopez,Paraguay,1864,1870
49,Lopez,Brazil,1864,1870
52,Naval War,Chile,1865,1866
52,Naval War,Peru,1866,1866
52,Naval War,Spain,1865,1866
55,Seven Weeks,Italy,1866,1866
55,Seven Weeks,Hesse Grand Ducal,1866,1866
55,Seven Weeks,Wuerttemburg,1866,1866
55,Seven Weeks,Bavaria,1866,1866
55,Seven Weeks,Austria,1866,1866
55,Seven Weeks,Germany,1866,1866
55,Seven Weeks,Mecklenburg Schwerin,1866,1866
55,Seven Weeks,Hesse Electoral,1866,1866
55,Seven Weeks,Saxony,1866,1866
55,Seven Weeks,Baden,1866,1866
55,Seven Weeks,Hanover,1866,1866
58,Franco-Prussian,Wuerttemburg,1870,1870
58,Franco-Prussian,Baden,1870,1870
58,Franco-Prussian,Germany,1870,1871
58,Franco-Prussian,Bavaria,1870,1870
58,Franco-Prussian,France,1870,1871
60,First Central American,Guatemala,1876,1876
60,First Central American,El Salvador,1876,1876
61,Second Russo-Turkish,Turkey,1877,1878
61,Second Russo-Turkish,Russia,1877,1878
64,War of the Pacific,Chile,1879,1883
64,War of the Pacific,Peru,1879,1883
64,War of the Pacific,Bolivia,1879,1883
65,Conquest of Egypt,Egypt,1882,1882
65,Conquest of Egypt,United Kingdom,1882,1882
67,Sino-French,France,1884,1885
67,Sino-French,China,1884,1885
70,Second Central American,El Salvador,1885,1885
70,Second Central American,Guatemala,1885,1885
73,First Sino-Japanese,China,1894,1895
73,First Sino-Japanese,Japan,1894,1895
76,Greco-Turkish,Greece,1897,1897
76,Greco-Turkish,Turkey,1897,1897
79,Spanish-American,Spain,1898,1898
79,Spanish-American,United States of America,1898,1898
82,Boxer Rebellion,Russia,1900,1900
82,Boxer Rebellion,Japan,1900,1900
82,Boxer Rebellion,United States of America,1900,1900
82,Boxer Rebellion,China,1900,1900
82,Boxer Rebellion,United Kingdom,1900,1900
82,Boxer Rebellion,France,1900,1900
83,Sino-Russian,Russia,1900,1900
83,Sino-Russian,China,1900,1900
85,Russo-Japanese,Japan,1904,1905
85,Russo-Japanese,Russia,1904,1905
88,Third Central American,Honduras,1906,1906
88,Third Central American,El Salvador,1906,1906
88,Third Central American,Guatemala,1906,1906
91,Fourth Central American,Nicaragua,1907,1907
91,Fourth Central American,El Salvador,1907,1907
91,Fourth Central American,Honduras,1907,1907
94,Second Spanish-Moroccan,Spain,1909,1910
94,Second Spanish-Moroccan,Morocco,1909,1910
97,Italian-Turkish,Italy,1911,1912
97,Italian-Turkish,Turkey,1911,1912
100,First Balkan,Turkey,1912,1913
100,First Balkan,Greece,1912,1913
100,First Balkan,Bulgaria,1912,1912
100,First Balkan,Yugoslavia,1912,1912
103,Second Balkan,Turkey,1913,1913
103,Second Balkan,Yugoslavia,1913,1913
103,Second Balkan,Greece,1913,1913
103,Second Balkan,Bulgaria,1913,1913
103,Second Balkan,Romania,1913,1913
106,World War I,Yugoslavia,1914,1918
106,World War I,Russia,1914,1917
106,World War I,Bulgaria,1915,1918
106,World War I,United Kingdom,1914,1918
106,World War I,Japan,1914,1918
106,World War I,Portugal,1916,1918
106,World War I,Turkey,1914,1918
106,World War I,Belgium,1914,1918
106,World War I,Germany,1914,1918
106,World War I,Greece,1917,1918
106,World War I,Romania,1916,1917
106,World War I,Austria-Hungary,1914,1918
106,World War I,France,1914,1918
106,World War I,Italy,1915,1918
106,World War I,United States of America,1917,1918
107,Estonian Liberation,Estonia,1918,1920
107,Estonian Liberation,Finland,1918,1920
107,Estonian Liberation,Russia,1918,1920
108,Latvian Liberation,Germany,1918,1919
108,Latvian Liberation,Russia,1918,1920
108,Latvian Liberation,Germany,1919,1919
108,Latvian Liberation,Estonia,1919,1920
108,Latvian Liberation,Latvia,1918,1920
109,Russo-Polish,Russia,1919,1920
109,Russo-Polish,Poland,1919,1920
112,Hungarian Adversaries,Hungary,1919,1919
112,Hungarian Adversaries,Czechoslovakia,1919,1919
112,Hungarian Adversaries,Romania,1919,1919
115,Second Greco-Turkish,Turkey,1919,1922
115,Second Greco-Turkish,Greece,1919,1922
116,Franco-Turkish,Turkey,1919,1921
116,Franco-Turkish,France,1919,1921
117,Lithuanian-Polish,Lithuania,1920,1920
117,Lithuanian-Polish,Poland,1920,1920
118,Manchurian,USSR,1929,1929
118,Manchurian,China,1929,1929
121,Second Sino-Japanese,Japan,1931,1933
121,Second Sino-Japanese,China,1931,1933
124,Chaco,Bolivia,1932,1935
124,Chaco,Paraguay,1932,1935
125,Saudi-Yemeni,Saudi Arabia,1934,1934
125,Saudi-Yemeni,Yemen Arab Republic,1934,1934
127,Conquest of Ethiopia,Italy,1935,1936
127,Conquest of Ethiopia,Ethiopia,1935,1936
130,Third Sino-Japanese,China,1937,1941
130,Third Sino-Japanese,Japan,1937,1941
133,Changkufeng,USSR,1938,1938
133,Changkufeng,Japan,1938,1938
136,Nomonhan,USSR,1939,1939
136,Nomonhan,Mongolia,1939,1939
136,Nomonhan,Japan,1939,1939
139,World War II,Hungary,1941,1945
139,World War II,Belgium,1940,1940
139,World War II,France,1940,1941
139,World War II,Yugoslavia,1941,1941
139,World War II,Finland,1941,1944
139,World War II,Norway,1940,1940
139,World War II,Canada,1939,1945
139,World War II,United States of America,1941,1945
139,World War II,United Kingdom,1939,1945
139,World War II,Netherlands,1940,1940
139,World War II,Italy,1940,1943
139,World War II,Romania,1944,1945
139,World War II,Romania,1941,1944
139,World War II,Bulgaria,1941,1944
139,World War II,Bulgaria,1944,1945
139,World War II,Greece,1940,1941
139,World War II,Brazil,1944,1945
139,World War II,Italy,1943,1945
139,World War II,Australia,1939,1945
139,World War II,New Zealand,1939,1945
139,World War II,USSR,1941,1945
139,World War II,Germany,1939,1945
139,World War II,Poland,1939,1939
139,World War II,France,1939,1940
139,World War II,Japan,1941,1945
139,World War II,Mongolia,1945,1945
139,World War II,China,1941,1945
139,World War II,South Africa,1939,1945
139,World War II,Ethiopia,1941,1941
142,Russo-Finnish,Finland,1939,1940
142,Russo-Finnish,USSR,1939,1940
145,Franco-Thai,France,1940,1941
145,Franco-Thai,Thailand,1940,1941
147,First Kashmir,India,1947,1949
147,First Kashmir,Pakistan,1947,1949
148,Arab-Israeli,Israel,1948,1948
148,Arab-Israeli,Egypt,1948,1948
148,Arab-Israeli,Syria,1948,1948
148,Arab-Israeli,Lebanon,1948,1948
148,Arab-Israeli,Jordan,1948,1948
148,Arab-Israeli,Iraq,1948,1948
151,Korean,China,1950,1953
151,Korean,Belgium,1951,1953
151,Korean,Canada,1950,1953
151,Korean,Colombia,1951,1953
151,Korean,United Kingdom,1950,1953
151,Korean,Netherlands,1951,1953
151,Korean,Greece,1951,1953
151,Korean,France,1951,1953
151,Korean,Turkey,1950,1953
151,Korean,Philippines,1950,1953
151,Korean,Thailand,1951,1953
151,Korean,North Korea,1950,1953
151,Korean,Ethiopia,1951,1953
151,Korean,Australia,1950,1953
151,Korean,South Korea,1950,1953
151,Korean,United States of America,1950,1953
153,Off-shore Islands,China,1954,1955
153,Off-shore Islands,Taiwan,1954,1955
155,Sinai War,France,1956,1956
155,Sinai War,Israel,1956,1956
155,Sinai War,Egypt,1956,1956
155,Sinai War,United Kingdom,1956,1956
156,Soviet Invasion of Hungary,Hungary,1956,1956
156,Soviet Invasion of Hungary,USSR,1956,1956
158,IfniWar,France,1958,1958
158,IfniWar,Spain,1957,1958
158,IfniWar,Morocco,1957,1958
159,Taiwan Straits,China (PRC),1958,1958
159,Taiwan Straits,Taiwan (ROC),1958,1958
160,Assam,India,1962,1962
160,Assam,China (PRC),1962,1962
163,"Vietnam War, Phase 2",United States of America,1965,1973
163,"Vietnam War, Phase 2",Cambodia,1970,1975
163,"Vietnam War, Phase 2",South Korea,1965,1973
163,"Vietnam War, Phase 2",Philippines,1966,1973
163,"Vietnam War, Phase 2",South Vietnam,1965,1975
163,"Vietnam War, Phase 2",Vietnam,1965,1975
163,"Vietnam War, Phase 2",Thailand,1967,1973
163,"Vietnam War, Phase 2",Australia,1965,1972
166,Second Kashmir,India,1965,1965
166,Second Kashmir,Pakistan,1965,1965
169,Six Day War,Israel,1967,1967
169,Six Day War,Egypt,1967,1967
169,Six Day War,Jordan,1967,1967
169,Six Day War,Syria,1967,1967
170,"Second Laotian, Phase 2",United States of America,1968,1973
170,"Second Laotian, Phase 2",Thailand,1970,1973
170,"Second Laotian, Phase 2",Laos,1968,1973
170,"Second Laotian, Phase 2",Vietnam,1968,1973
172,War of Attrition,Egypt,1969,1970
172,War of Attrition,Israel,1969,1970
175,Football War,Honduras,1969,1969
175,Football War,El Salvador,1969,1969
176,Communist Coalition,Vietnam,1970,1971
176,Communist Coalition,United States of America,1970,1971
176,Communist Coalition,Cambodia,1970,1971
176,Communist Coalition,South Vietnam,1970,1971
178,Bangladesh,India,1971,1971
178,Bangladesh,Pakistan,1971,1971
181,Yom Kippur War,Egypt,1973,1973
181,Yom Kippur War,Saudi Arabia,1973,1973
181,Yom Kippur War,Israel,1973,1973
181,Yom Kippur War,Jordan,1973,1973
181,Yom Kippur War,Syria,1973,1973
181,Yom Kippur War,Iraq,1973,1973
184,Turco-Cypriot,Turkey,1974,1974
184,Turco-Cypriot,Cyprus,1974,1974
186,War over Angola,Cuba,1975,1976
186,War over Angola,South Africa,1975,1976
186,War over Angola,Democratic Republic of the Congo,1975,1976
186,War over Angola,Angola,1975,1976
